Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
ANGOULEME,24923.0,5121.0,1823.0,909.0
PARIS MONTPARNASSE,501333.0,36495.0,44466.0,15757.0
LE MANS,36707.0,6791.0,3092.0,996.0
ST MALO,9366.0,655.0,577.0,221.0
TOULOUSE MATABIAU,15574.0,807.0,1323.0,426.0
PARIS EST,142615.0,10767.0,11437.0,3266.0
PARIS NORD,121850.0,9072.0,10417.0,4345.0
LYON PART DIEU,147629.0,39845.0,14793.0,7095.0
LILLE,90314.0,9848.0,10723.0,3339.0
MARSEILLE ST CHARLES,112520.0,11407.0,12377.0,4143.0
ANNECY,16744.0,447.0,951.0,633.0
CHAMBERY CHALLES LES EAUX,15670.0,4183.0,1560.0,749.0
PARIS LYON,606668.0,34912.0,47411.0,16733.0
GENEVE,17830.0,3181.0,1479.0,391.0
MADRID,725.0,169.0,51.0,96.0
BORDEAUX ST JEAN,63817.0,9372.0,4687.0,2871.0
NANCY,27746.0,2155.0,894.0,648.0
MULHOUSE VILLE,26499.0,3684.0,1795.0,670.0
ITALIE,6742.0,1744.0,727.0,278.0
STRASBOURG,44977.0,7902.0,2313.0,1206.0
LAUSANNE,10257.0,2050.0,846.0,212.0
AVIGNON TGV,43175.0,8472.0,3187.0,953.0
LAVAL,20161.0,2489.0,1381.0,521.0
NANTES,53213.0,5503.0,3607.0,1617.0
AIX EN PROVENCE TGV,37652.0,5768.0,2674.0,853.0
TOULON,21000.0,5086.0,2086.0,1126.0
ANGERS SAINT LAUD,36894.0,5698.0,2610.0,1051.0
REIMS,19869.0,1397.0,1136.0,370.0
DIJON VILLE,37476.0,7799.0,1791.0,929.0
STUTTGART,10092.0,3759.0,980.0,260.0
GRENOBLE,21669.0,835.0,1514.0,591.0
POITIERS,40956.0,7108.0,2655.0,1446.0
LA ROCHELLE VILLE,20821.0,692.0,1085.0,494.0
BARCELONA,1843.0,486.0,329.0,77.0
LE CREUSOT MONTCEAU MONTCHANIN,16674.0,4549.0,1323.0,200.0
DUNKERQUE,24957.0,364.0,1321.0,711.0
MARNE LA VALLEE,11660.0,7269.0,2133.0,1487.0
BESANCON FRANCHE COMTE TGV,18617.0,1281.0,1004.0,498.0
ST PIERRE DES CORPS,35736.0,5773.0,3183.0,1123.0
NICE VILLE,17667.0,2217.0,2039.0,856.0
PERPIGNAN,14086.0,2142.0,1599.0,660.0
MACON LOCHE,15313.0,5519.0,904.0,602.0
MONTPELLIER,52675.0,8214.0,6033.0,2839.0
DOUAI,17798.0,1412.0,1550.0,555.0
RENNES,59236.0,7620.0,4595.0,2236.0
PARIS VAUGIRARD,2593.0,235.0,210.0,34.0
TOURCOING,1335.0,104.0,114.0,71.0
SAINT ETIENNE CHATEAUCREUX,10448.0,399.0,827.0,257.0
ARRAS,27180.0,3634.0,1908.0,1291.0
BREST,24016.0,745.0,1125.0,702.0
BELLEGARDE (AIN),17957.0,3644.0,1733.0,500.0
TOURS,17440.0,661.0,1758.0,320.0
ZURICH,13036.0,1934.0,988.0,156.0
NIMES,25880.0,6354.0,2654.0,1259.0
VALENCE ALIXAN TGV,22526.0,6358.0,2050.0,1014.0
QUIMPER,21938.0,793.0,1178.0,654.0
VANNES,21426.0,2639.0,1563.0,717.0
METZ,26236.0,3951.0,1605.0,626.0
FRANCFORT,11064.0,2684.0,893.0,296.0
