Gare,A l'heure,En retard au depart,En retard a l'arrivee,Annulees
PARIS EST,31517.0,761.0,1641.0,351.0
CHAMBERY CHALLES LES EAUX,3435.0,571.0,251.0,95.0
PARIS LYON,133180.0,3996.0,8514.0,2534.0
LE CREUSOT MONTCEAU MONTCHANIN,3851.0,743.0,260.0,31.0
LYON PART DIEU,33812.0,5566.0,2598.0,940.0
NIMES,6021.0,886.0,507.0,150.0
BORDEAUX ST JEAN,12054.0,1521.0,1040.0,302.0
RENNES,13125.0,782.0,935.0,204.0
DOUAI,4064.0,89.0,283.0,69.0
PARIS NORD,27332.0,840.0,1671.0,445.0
LILLE,21488.0,907.0,1772.0,308.0
PARIS MONTPARNASSE,112138.0,3525.0,8384.0,2144.0
BREST,4778.0,40.0,227.0,77.0
TOURS,4051.0,62.0,338.0,30.0
MACON LOCHE,3581.0,878.0,122.0,113.0
PERPIGNAN,3213.0,248.0,320.0,55.0
VALENCE ALIXAN TGV,5233.0,756.0,345.0,100.0
LA ROCHELLE VILLE,4147.0,51.0,155.0,98.0
LAVAL,4866.0,309.0,205.0,65.0
ST PIERRE DES CORPS,8679.0,822.0,571.0,161.0
NANCY,6072.0,172.0,151.0,98.0
ANGOULEME,6063.0,1071.0,359.0,215.0
TOULON,4903.0,855.0,302.0,221.0
ST MALO,2227.0,19.0,135.0,20.0
METZ,6051.0,401.0,262.0,101.0
POITIERS,9327.0,1419.0,400.0,240.0
REIMS,4421.0,88.0,147.0,50.0
MARSEILLE ST CHARLES,23943.0,1275.0,2205.0,487.0
ZURICH,3208.0,213.0,181.0,0.0
BELLEGARDE (AIN),4256.0,442.0,231.0,61.0
BESANCON FRANCHE COMTE TGV,4183.0,100.0,186.0,99.0
GRENOBLE,4900.0,119.0,258.0,127.0
STUTTGART,2775.0,436.0,149.0,0.0
ANNECY,3491.0,40.0,104.0,89.0
AVIGNON TGV,10156.0,1352.0,494.0,183.0
SAINT ETIENNE CHATEAUCREUX,2207.0,35.0,177.0,32.0
LAUSANNE,2098.0,111.0,122.0,0.0
STRASBOURG,10642.0,695.0,380.0,102.0
NICE VILLE,4038.0,253.0,384.0,159.0
QUIMPER,4471.0,33.0,227.0,71.0
NANTES,12043.0,471.0,717.0,253.0
VANNES,4993.0,130.0,272.0,84.0
MONTPELLIER,12297.0,1166.0,1276.0,454.0
DUNKERQUE,5283.0,56.0,197.0,68.0
ANGERS SAINT LAUD,9113.0,499.0,502.0,164.0
FRANCFORT,1654.0,358.0,88.0,3.0
MULHOUSE VILLE,6221.0,283.0,326.0,120.0
TOULOUSE MATABIAU,3195.0,86.0,313.0,73.0
DIJON VILLE,8914.0,891.0,305.0,158.0
ARRAS,6330.0,262.0,276.0,131.0
GENEVE,4272.0,296.0,194.0,2.0
ITALIE,1464.0,199.0,137.0,0.0
AIX EN PROVENCE TGV,9134.0,620.0,435.0,177.0
LE MANS,8970.0,754.0,600.0,124.0
